id_ocorrencia_t;tipo
40577;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40579;COM TREM DE POUSO
40581;ESTOURO DE PNEU
40583;PERDA DE COMPONENTE NO SOLO
40617;COLISAO COM AVE
40620;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
40621;COM TREM DE POUSO
40622;COLISAO COM AVE
40623;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40624;ESTOURO DE PNEU
40652;PERDA DE CONTROLE NO SOLO
40732;FALHA DO MOTOR EM VOO
40774;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40791;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40793;EXCURSAO DE PISTA
40793;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40819;COM PARA-BRISAS / JANELA / PORTA
40821;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40823;COM TREM DE POUSO
40825;SOPRO DE REATOR
40826;TRAFEGO AEREO
40827;TRAFEGO AEREO
40834;FALHA DO MOTOR EM VOO
40835;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40837;PERDA DE COMPONENTE EM VOO
40839;FALHA DO MOTOR EM VOO
40842;COLISAO COM AVE
40843;OUTROS
40853;COM COMANDOS DE VOO
40855;FALHA DO MOTOR EM VOO
40933;FALHA DO MOTOR EM VOO
41053;VOO CONTROLADO CONTRA O TERRENO
41054;COLISAO COM AVE
41132;OUTROS
41155;EXCURSAO DE PISTA
41155;PERDA DE CONTROLE NO SOLO
41172;OUTROS
41174;COLISAO COM AVE
41177;PERDA DE CONTROLE NO SOLO
41178;PERDA DE CONTROLE NO SOLO
41179;COM TREM DE POUSO
41181;FALHA DO MOTOR EM VOO
41224;ESTOURO DE PNEU
41235;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41236;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
41252;FALHA DO MOTOR EM VOO
41272;ESTOURO DE PNEU
41274;OUTROS
41374;PERDA DE CONTROLE EM VOO
41375;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41376;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41377;POUSO BRUSCO
41378;FALHA DO MOTOR EM VOO
41392;PERDA DE CONTROLE NO SOLO
41393;FALHA DO MOTOR EM VOO
41394;COM PARA-BRISAS / JANELA / PORTA
41409;AERONAVE ATINGIDA POR OBJETO
41411;EXCURSAO DE PISTA
41411;PERDA DE CONTROLE NO SOLO
41480;POUSO BRUSCO
41481;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41482;FALHA DO MOTOR EM VOO
41484;ESTOURO DE PNEU
41485;FALHA DO MOTOR NO SOLO
41487;FALHA DO MOTOR EM VOO
41488;PERDA DE CONTROLE EM VOO
41551;ESTOURO DE PNEU
41552;OUTROS
41553;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41569;PERDA DE CONTROLE NO SOLO
41571;COM PARA-BRISAS / JANELA / PORTA
41573;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41574;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41577;ESTOURO DE PNEU
41578;POUSO SEM TREM
41579;COM TREM DE POUSO
41589;VAZAMENTO DE OUTROS FLUIDOS
41591;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41592;ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO
41595;FALHA DO MOTOR EM VOO
41609;COLISAO COM AERONAVE NO SOLO
41610;SUPERAQUECIMENTO
41629;ESTOURO DE PNEU
41649;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41655;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41661;COLISAO COM AVE
41664;ESTOURO DE PNEU
41665;COLISAO COM AVE
41670;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41672;COLISAO COM AVE
41676;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41678;COLISAO COM AVE
41680;VAZAMENTO DE COMBUSTIVEL
41682;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41684;FALHA DO MOTOR EM VOO
41729;PERDA DE CONTROLE EM VOO
41749;EXCURSAO DE PISTA
41749;PERDA DE CONTROLE EM VOO
41750;PERDA DE CONTROLE EM VOO
41751;PANE SECA
41789;PANE SECA
41829;EXCURSAO DE PISTA
41829;FALHA DO MOTOR EM VOO
41832;COM TREM DE POUSO
41834;FALHA DO MOTOR EM VOO
41837;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
41840;FALHA DO MOTOR EM VOO
41844;OUTROS
41845;COM PARA-BRISAS / JANELA / PORTA
41850;COLISAO COM AERONAVE NO SOLO
41852;FALHA DO MOTOR EM VOO
41854;COLISAO COM AVE
41898;POUSO EM LOCAL NAO PREVISTO
41899;ESTOURO DE PNEU
41900;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41902;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41904;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41908;COLISAO COM AVE
41909;COM LANCAMENTO DE CARGA
41910;FALHA DO MOTOR EM VOO
41913;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41914;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
41915;COLISAO COM AVE
41916;VOO CONTROLADO CONTRA O TERRENO
41917;POUSO BRUSCO
41939;COLISAO COM AVE
41960;PERDA DE CONTROLE EM VOO
41973;COLISAO COM AVE
41976;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
41984;ESTOURO DE PNEU
41985;OUTROS
41986;COLISAO COM AVE
41988;COLISAO COM AVE
41991;ESTOURO DE PNEU
41994;COLISAO COM AVE
41998;COLISAO COM AVE
41999;COLISAO COM AVE
42001;EXCURSAO DE PISTA
42001;PERDA DE CONTROLE NO SOLO
42009;COM LANCAMENTO DE CARGA
42010;TRAFEGO AEREO
42011;TRAFEGO AEREO
42012;TRAFEGO AEREO
42013;TRAFEGO AEREO
42038;OUTROS
42039;POUSO EM LOCAL NAO PREVISTO
42067;FALHA DO MOTOR EM VOO
42068;COM TREM DE POUSO
42071;FALHA DO MOTOR EM VOO
42073;OUTROS
42232;COLISAO COM AVE
42249;ESTOURO DE PNEU
42250;EXCURSAO DE PISTA
42250;PERDA DE CONTROLE NO SOLO
42251;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
42263;ESTOURO DE PNEU
42284;ESTOURO DE PNEU
42286;OUTROS
42287;FALHA DO MOTOR EM VOO
42289;FALHA DO MOTOR EM VOO
42292;ESTOURO DE PNEU
42303;PANE SECA
42323;POUSO ANTES DA PISTA
42367;OUTROS
42368;COLISAO COM AERONAVE NO SOLO
42386;EXCURSAO DE PISTA
42386;POUSO ANTES DA PISTA
42387;EXCURSAO DE PISTA
42387;PERDA DE CONTROLE EM VOO
42388;PERDA DE CONTROLE NO SOLO
42425;OUTROS
42427;FALHA DO MOTOR EM VOO
42429;COM PARA-BRISAS / JANELA / PORTA
42431;COM ROTOR
42432;PERDA DE CONTROLE NO SOLO
42433;F.O.D.
42434;OUTROS
42436;ESTOURO DE PNEU
42439;VAZAMENTO DE OUTROS FLUIDOS
42443;COLISAO COM AVE
42446;COM TREM DE POUSO
42447;OUTROS
42448;POUSO BRUSCO
42449;COLISAO COM AVE
42451;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42452;COM TREM DE POUSO
42456;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42458;POUSO SEM TREM
42460;POUSO BRUSCO
42461;COLISAO COM AVE
42465;OUTROS
42466;COM HELICE
42485;FALHA DO MOTOR EM VOO
42486;COLISAO COM AVE
42506;COLISAO COM AVE
42565;PANE SECA
42585;PERDA DE CONTROLE NO SOLO
42587;COM TREM DE POUSO
42588;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42589;ESTOURO DE PNEU
42590;COLISAO COM AVE
42592;COLISAO COM OBSTACULOS NO SOLO
42595;ESTOURO DE PNEU
42597;OUTROS
42598;OUTROS
42601;OUTROS
42602;COM TREM DE POUSO
42603;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42606;COM TREM DE POUSO
42614;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42618;ESTOURO DE PNEU
42619;COM TREM DE POUSO
42626;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
42634;PERDA DE COMPONENTE EM VOO
42636;ESTOURO DE PNEU
42638;OUTROS
42646;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
42680;COLISAO COM AVE
42707;COLISAO COM AVE
42713;ESTOURO DE PNEU
42714;FALHA DO MOTOR EM VOO
42715;FALHA DO MOTOR EM VOO
42716;COLISAO COM AERONAVE NO SOLO
42717;ESTOURO DE PNEU
42718;EXCURSAO DE PISTA
42718;PERDA DE CONTROLE NO SOLO
42723;FALHA DO MOTOR EM VOO
42735;AERONAVE ATINGIDA POR OBJETO
42738;COLISAO COM OBSTACULOS NO SOLO
42740;TRAFEGO AEREO
42742;TRAFEGO AEREO
42756;ESTOURO DE PNEU
42757;COM TREM DE POUSO
42758;PERDA DE CONTROLE EM VOO
42760;EXCURSAO DE PISTA
42760;PERDA DE CONTROLE NO SOLO
42781;COLISAO COM AVE
42838;FALHA DO MOTOR EM VOO
42865;POUSO SEM TREM
42866;COM COMANDOS DE VOO
42868;TRAFEGO AEREO
42880;POUSO LONGO
42882;POUSO LONGO
42883;COM TREM DE POUSO
42919;FALHA DO MOTOR EM VOO
42921;VOO CONTROLADO CONTRA O TERRENO
42960;COM TREM DE POUSO
42960;PERDA DE CONTROLE NO SOLO
42980;COM TREM DE POUSO
42981;COLISAO COM AVE
42983;PERDA DE CONTROLE NO SOLO
42984;ESTOURO DE PNEU
42986;ESTOURO DE PNEU
42987;FALHA DO MOTOR EM VOO
42988;FOGO NO SOLO
42989;OUTROS
42990;FALHA DO MOTOR EM VOO
42991;FALHA DO MOTOR EM VOO
42994;OUTROS
42997;FALHA DO MOTOR EM VOO
42999;POUSO SEM TREM
43002;ESTOURO DE PNEU
43003;PERDA DE CONTROLE EM VOO
43005;VAZAMENTO DE OUTROS FLUIDOS
43007;PERDA DE CONTROLE NO SOLO
43008;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43015;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43019;ESTOURO DE PNEU
43021;FALHA DO MOTOR EM VOO
43022;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
43023;FALHA DO MOTOR EM VOO
43026;FALHA DO MOTOR EM VOO
43027;FALHA DO MOTOR EM VOO
43030;VAZAMENTO DE OUTROS FLUIDOS
43033;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43035;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43042;FALHA DO MOTOR EM VOO
43043;PERDA DE CONTROLE EM VOO
43044;FALHA ESTRUTURAL
43061;ESTOURO DE PNEU
43062;PERDA DE CONTROLE EM VOO
43063;PERDA DE CONTROLE EM VOO
43064;POUSO BRUSCO
43065;FALHA DO MOTOR EM VOO
43067;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43070;POUSO SEM TREM
43082;OUTROS
43083;FALHA DO MOTOR NO SOLO
43085;FALHA DO MOTOR EM VOO
43086;ESTOURO DE PNEU
43089;PERDA DE CONTROLE NO SOLO
43090;ESTOURO DE PNEU
43091;PERDA DE CONTROLE NO SOLO
43093;FALHA DO MOTOR EM VOO
43094;CORTE INVOLUNTARIO DO MOTOR
43095;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43132;POUSO EM LOCAL NAO PREVISTO
43153;COLISAO COM OBSTACULOS NO SOLO
43155;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43156;ESTOURO DE PNEU
43157;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43158;FALHA DO MOTOR EM VOO
43171;TRAFEGO AEREO
43256;PANE SECA
43257;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43258;PERDA DE CONTROLE NO SOLO
43259;COM TREM DE POUSO
43260;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43261;COLISAO COM AVE
43262;PERDA DE CONTROLE NO SOLO
43263;COM PARA-BRISAS / JANELA / PORTA
43264;FALHA DO MOTOR EM VOO
43266;PERDA DE CONTROLE EM VOO
43268;OPERACAO A BAIXA ALTITUDE
43282;POUSO BRUSCO
43283;OUTROS
43288;COLISAO COM AVE
43289;COM PARA-BRISAS / JANELA / PORTA
43290;PERDA DE CONTROLE EM VOO
43294;PERDA DE CONTROLE EM VOO
43318;COLISAO COM AVE
43321;PERDA DE CONTROLE EM VOO
43325;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43329;COLISAO COM AVE
43333;COLISAO COM AVE
43335;COLISAO COM AVE
43348;PERDA DE CONTROLE NO SOLO
43350;PERDA DE COMPONENTE NO SOLO
43361;PERDA DE CONTROLE NO SOLO
43365;COLISAO COM AVE
43374;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43383;COM TREM DE POUSO
43384;COM TREM DE POUSO
43385;PERDA DE COMPONENTE NO SOLO
43389;OUTROS
43390;PANE SECA
43392;INDETERMINADO
43393;PANE SECA
43403;FALHA DO MOTOR EM VOO
43404;PERDA DE CONTROLE EM VOO
43405;F.O.D.
43406;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43407;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
43414;COLISAO COM OBSTACULOS NO SOLO
43439;TRAFEGO AEREO
43446;COLISAO COM OBSTACULO DURANTE A DECOLAGEM E POUSO
43447;PERDA DE CONTROLE NO SOLO
43449;PERDA DE CONTROLE NO SOLO
43450;PERDA DE CONTROLE EM VOO
43451;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43452;FALHA DO MOTOR EM VOO
43454;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43455;FALHA DO MOTOR EM VOO
43457;COM TREM DE POUSO
43458;FALHA DO MOTOR EM VOO
43459;EXCURSAO DE PISTA
43459;PERDA DE CONTROLE NO SOLO
43461;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43462;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
43463;COMBUSTIVEL
43464;COM TREM DE POUSO
43465;DESCOMPRESSAO NAO INTENCIONAL / EXPLOSIVA
43466;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43467;OUTROS
43470;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43471;FALHA DO MOTOR EM VOO
43472;COM TREM DE POUSO
43472;EXCURSAO DE PISTA
43473;COLISAO COM OBSTACULOS NO SOLO
43474;FALHA DO MOTOR EM VOO
43480;FALHA DO MOTOR EM VOO
43503;COM COMANDOS DE VOO
43524;INDETERMINADO
43527;COLISAO COM AVE
43531;COLISAO COM AVE
43534;COM PARA-BRISAS / JANELA / PORTA
43538;COLISAO COM AVE
43547;COLISAO COM AVE
43548;COLISAO COM AVE
43551;COLISAO COM AVE
43555;COLISAO COM AVE
43572;COLISAO COM AVE
43578;COLISAO COM AVE
43581;COLISAO COM AVE
43589;COLISAO COM AVE
43603;COLISAO COM AVE
43610;COLISAO COM AVE
43619;COLISAO COM AVE
43620;COLISAO COM AVE
43628;POUSO SEM TREM
43629;PERDA DE CONTROLE EM VOO
43630;FALHA DO MOTOR EM VOO
43631;FALHA DO MOTOR EM VOO
43633;EXCURSAO DE PISTA
43633;PERDA DE CONTROLE NO SOLO
43634;COM TREM DE POUSO
43637;ESTOURO DE PNEU
43639;PERDA DE CONTROLE NO SOLO
43642;PERDA DE CONTROLE NO SOLO
43643;ESTOURO DE PNEU
43648;COLISAO COM AVE
43649;CAUSADO POR FENOMENO METEOROLOGICO EM VOO
43652;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
43653;OUTROS
43655;ESTOURO DE PNEU
43656;PERDA DE CONTROLE NO SOLO
43657;PERDA DE CONTROLE EM VOO
43658;PERDA DE CONTROLE EM VOO
43667;OUTROS
43668;COM TREM DE POUSO
